Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
61,,Afghanistan,22-03-2020,40,1
62,,Afghanistan,23-03-2020,40,1
63,,Afghanistan,24-03-2020,74,1
64,,Afghanistan,25-03-2020,84,2
65,,Afghanistan,26-03-2020,94,4
66,,Afghanistan,27-03-2020,110,4
67,,Afghanistan,28-03-2020,110,4
101,,Albania,22-01-2020,0,0
102,,Albania,23-01-2020,0,0
103,,Albania,24-01-2020,0,0
104,,Albania,25-01-2020,0,0
105,,Albania,26-01-2020,0,0
106,,Albania,27-01-2020,0,0
107,,Albania,28-01-2020,0,0
108,,Albania,29-01-2020,0,0
109,,Albania,30-01-2020,0,0
110,,Albania,31-01-2020,0,0
111,,Albania,01-02-2020,0,0
112,,Albania,02-02-2020,0,0
113,,Albania,03-02-2020,0,0
114,,Albania,04-02-2020,0,0
115,,Albania,05-02-2020,0,0
116,,Albania,06-02-2020,0,0
117,,Albania,07-02-2020,0,0
118,,Albania,08-02-2020,0,0
119,,Albania,09-02-2020,0,0
120,,Albania,10-02-2020,0,0
121,,Albania,11-02-2020,0,0
122,,Albania,12-02-2020,0,0
123,,Albania,13-02-2020,0,0
124,,Albania,14-02-2020,0,0
125,,Albania,15-02-2020,0,0
126,,Albania,16-02-2020,0,0
127,,Albania,17-02-2020,0,0
128,,Albania,18-02-2020,0,0
129,,Albania,19-02-2020,0,0
130,,Albania,20-02-2020,0,0
131,,Albania,21-02-2020,0,0
132,,Albania,22-02-2020,0,0
133,,Albania,23-02-2020,0,0
134,,Albania,24-02-2020,0,0
135,,Albania,25-02-2020,0,0
136,,Albania,26-02-2020,0,0
137,,Albania,27-02-2020,0,0
138,,Albania,28-02-2020,0,0
139,,Albania,29-02-2020,0,0
140,,Albania,01-03-2020,0,0
141,,Albania,02-03-2020,0,0
142,,Albania,03-03-2020,0,0
143,,Albania,04-03-2020,0,0
144,,Albania,05-03-2020,0,0
145,,Albania,06-03-2020,0,0
146,,Albania,07-03-2020,0,0
147,,Albania,08-03-2020,0,0
148,,Albania,09-03-2020,2,0
149,,Albania,10-03-2020,10,0
150,,Albania,11-03-2020,12,1
151,,Albania,12-03-2020,23,1
152,,Albania,13-03-2020,33,1
153,,Albania,14-03-2020,38,1
154,,Albania,15-03-2020,42,1
155,,Albania,16-03-2020,51,1
156,,Albania,17-03-2020,55,1
157,,Albania,18-03-2020,59,2
158,,Albania,19-03-2020,64,2
159,,Albania,20-03-2020,70,2
160,,Albania,21-03-2020,76,2
161,,Albania,22-03-2020,89,2
162,,Albania,23-03-2020,104,4
163,,Albania,24-03-2020,123,5
164,,Albania,25-03-2020,146,5
165,,Albania,26-03-2020,174,6
166,,Albania,27-03-2020,186,8
167,,Albania,28-03-2020,197,10
201,,Algeria,22-01-2020,0,0
202,,Algeria,23-01-2020,0,0
203,,Algeria,24-01-2020,0,0
204,,Algeria,25-01-2020,0,0
205,,Algeria,26-01-2020,0,0
206,,Algeria,27-01-2020,0,0
207,,Algeria,28-01-2020,0,0
208,,Algeria,29-01-2020,0,0
209,,Algeria,30-01-2020,0,0
210,,Algeria,31-01-2020,0,0
211,,Algeria,01-02-2020,0,0
212,,Algeria,02-02-2020,0,0
213,,Algeria,03-02-2020,0,0
214,,Algeria,04-02-2020,0,0
215,,Algeria,05-02-2020,0,0
216,,Algeria,06-02-2020,0,0
217,,Algeria,07-02-2020,0,0
218,,Algeria,08-02-2020,0,0
219,,Algeria,09-02-2020,0,0
220,,Algeria,10-02-2020,0,0
221,,Algeria,11-02-2020,0,0
222,,Algeria,12-02-2020,0,0
223,,Algeria,13-02-2020,0,0
224,,Algeria,14-02-2020,0,0
225,,Algeria,15-02-2020,0,0
226,,Algeria,16-02-2020,0,0
227,,Algeria,17-02-2020,0,0
228,,Algeria,18-02-2020,0,0
229,,Algeria,19-02-2020,0,0
230,,Algeria,20-02-2020,0,0
231,,Algeria,21-02-2020,0,0
232,,Algeria,22-02-2020,0,0
233,,Algeria,23-02-2020,0,0
234,,Algeria,24-02-2020,0,0
235,,Algeria,25-02-2020,1,0
236,,Algeria,26-02-2020,1,0
237,,Algeria,27-02-2020,1,0
238,,Algeria,28-02-2020,1,0
239,,Algeria,29-02-2020,1,0
240,,Algeria,01-03-2020,1,0
241,,Algeria,02-03-2020,3,0
242,,Algeria,03-03-2020,5,0
243,,Algeria,04-03-2020,12,0
244,,Algeria,05-03-2020,12,0
245,,Algeria,06-03-2020,17,0
246,,Algeria,07-03-2020,17,0
247,,Algeria,08-03-2020,19,0
248,,Algeria,09-03-2020,20,0
249,,Algeria,10-03-2020,20,0
250,,Algeria,11-03-2020,20,0
251,,Algeria,12-03-2020,24,1
252,,Algeria,13-03-2020,26,2
253,,Algeria,14-03-2020,37,3
254,,Algeria,15-03-2020,48,4
255,,Algeria,16-03-2020,54,4
256,,Algeria,17-03-2020,60,4
257,,Algeria,18-03-2020,74,7
258,,Algeria,19-03-2020,87,9
259,,Algeria,20-03-2020,90,11
260,,Algeria,21-03-2020,139,15
261,,Algeria,22-03-2020,201,17
262,,Algeria,23-03-2020,230,17
263,,Algeria,24-03-2020,264,19
264,,Algeria,25-03-2020,302,21
265,,Algeria,26-03-2020,367,25
266,,Algeria,27-03-2020,409,26
267,,Algeria,28-03-2020,454,29
301,,Andorra,22-01-2020,0,0
302,,Andorra,23-01-2020,0,0
303,,Andorra,24-01-2020,0,0
304,,Andorra,25-01-2020,0,0
305,,Andorra,26-01-2020,0,0
306,,Andorra,27-01-2020,0,0
307,,Andorra,28-01-2020,0,0
308,,Andorra,29-01-2020,0,0
309,,Andorra,30-01-2020,0,0
310,,Andorra,31-01-2020,0,0
311,,Andorra,01-02-2020,0,0
312,,Andorra,02-02-2020,0,0
313,,Andorra,03-02-2020,0,0
314,,Andorra,04-02-2020,0,0
315,,Andorra,05-02-2020,0,0
316,,Andorra,06-02-2020,0,0
317,,Andorra,07-02-2020,0,0
318,,Andorra,08-02-2020,0,0
319,,Andorra,09-02-2020,0,0
320,,Andorra,10-02-2020,0,0
321,,Andorra,11-02-2020,0,0
322,,Andorra,12-02-2020,0,0
323,,Andorra,13-02-2020,0,0
324,,Andorra,14-02-2020,0,0
325,,Andorra,15-02-2020,0,0
326,,Andorra,16-02-2020,0,0
327,,Andorra,17-02-2020,0,0
328,,Andorra,18-02-2020,0,0
329,,Andorra,19-02-2020,0,0
330,,Andorra,20-02-2020,0,0
331,,Andorra,21-02-2020,0,0
332,,Andorra,22-02-2020,0,0
333,,Andorra,23-02-2020,0,0
334,,Andorra,24-02-2020,0,0
335,,Andorra,25-02-2020,0,0
336,,Andorra,26-02-2020,0,0
337,,Andorra,27-02-2020,0,0
338,,Andorra,28-02-2020,0,0
339,,Andorra,29-02-2020,0,0
340,,Andorra,01-03-2020,0,0
341,,Andorra,02-03-2020,1,0
342,,Andorra,03-03-2020,1,0
343,,Andorra,04-03-2020,1,0
344,,Andorra,05-03-2020,1,0
345,,Andorra,06-03-2020,1,0
346,,Andorra,07-03-2020,1,0
347,,Andorra,08-03-2020,1,0
348,,Andorra,09-03-2020,1,0
349,,Andorra,10-03-2020,1,0
350,,Andorra,11-03-2020,1,0
351,,Andorra,12-03-2020,1,0
352,,Andorra,13-03-2020,1,0
353,,Andorra,14-03-2020,1,0
354,,Andorra,15-03-2020,1,0
355,,Andorra,16-03-2020,2,0
356,,Andorra,17-03-2020,39,0
357,,Andorra,18-03-2020,39,0
358,,Andorra,19-03-2020,53,0
359,,Andorra,20-03-2020,75,0
360,,Andorra,21-03-2020,88,0
361,,Andorra,22-03-2020,113,1
362,,Andorra,23-03-2020,133,1
363,,Andorra,24-03-2020,164,1
364,,Andorra,25-03-2020,188,1
365,,Andorra,26-03-2020,224,3
366,,Andorra,27-03-2020,267,3
367,,Andorra,28-03-2020,308,3
401,,Angola,22-01-2020,0,0
402,,Angola,23-01-2020,0,0
403,,Angola,24-01-2020,0,0
404,,Angola,25-01-2020,0,0
405,,Angola,26-01-2020,0,0
406,,Angola,27-01-2020,0,0
407,,Angola,28-01-2020,0,0
408,,Angola,29-01-2020,0,0
409,,Angola,30-01-2020,0,0
410,,Angola,31-01-2020,0,0
411,,Angola,01-02-2020,0,0
412,,Angola,02-02-2020,0,0
413,,Angola,03-02-2020,0,0
414,,Angola,04-02-2020,0,0
415,,Angola,05-02-2020,0,0
416,,Angola,06-02-2020,0,0
417,,Angola,07-02-2020,0,0
418,,Angola,08-02-2020,0,0
419,,Angola,09-02-2020,0,0
420,,Angola,10-02-2020,0,0
421,,Angola,11-02-2020,0,0
422,,Angola,12-02-2020,0,0
423,,Angola,13-02-2020,0,0
424,,Angola,14-02-2020,0,0
425,,Angola,15-02-2020,0,0
426,,Angola,16-02-2020,0,0
427,,Angola,17-02-2020,0,0
428,,Angola,18-02-2020,0,0
429,,Angola,19-02-2020,0,0
430,,Angola,20-02-2020,0,0
431,,Angola,21-02-2020,0,0
432,,Angola,22-02-2020,0,0
433,,Angola,23-02-2020,0,0
434,,Angola,24-02-2020,0,0
435,,Angola,25-02-2020,0,0
436,,Angola,26-02-2020,0,0
437,,Angola,27-02-2020,0,0
438,,Angola,28-02-2020,0,0
439,,Angola,29-02-2020,0,0
440,,Angola,01-03-2020,0,0
441,,Angola,02-03-2020,0,0
442,,Angola,03-03-2020,0,0
443,,Angola,04-03-2020,0,0
444,,Angola,05-03-2020,0,0
445,,Angola,06-03-2020,0,0
446,,Angola,07-03-2020,0,0
447,,Angola,08-03-2020,0,0
448,,Angola,09-03-2020,0,0
449,,Angola,10-03-2020,0,0
450,,Angola,11-03-2020,0,0
451,,Angola,12-03-2020,0,0
452,,Angola,13-03-2020,0,0
453,,Angola,14-03-2020,0,0
454,,Angola,15-03-2020,0,0
455,,Angola,16-03-2020,0,0
456,,Angola,17-03-2020,0,0
457,,Angola,18-03-2020,0,0
458,,Angola,19-03-2020,0,0
459,,Angola,20-03-2020,1,0
460,,Angola,21-03-2020,2,0
461,,Angola,22-03-2020,2,0
462,,Angola,23-03-2020,3,0
463,,Angola,24-03-2020,3,0
464,,Angola,25-03-2020,3,0
465,,Angola,26-03-2020,4,0
466,,Angola,27-03-2020,4,0
467,,Angola,28-03-2020,5,0
501,,Antigua and Barbuda,22-01-2020,0,0
502,,Antigua and Barbuda,23-01-2020,0,0
503,,Antigua and Barbuda,24-01-2020,0,0
504,,Antigua and Barbuda,25-01-2020,0,0
505,,Antigua and Barbuda,26-01-2020,0,0
506,,Antigua and Barbuda,27-01-2020,0,0
507,,Antigua and Barbuda,28-01-2020,0,0
508,,Antigua and Barbuda,29-01-2020,0,0
509,,Antigua and Barbuda,30-01-2020,0,0
510,,Antigua and Barbuda,31-01-2020,0,0
511,,Antigua and Barbuda,01-02-2020,0,0
512,,Antigua and Barbuda,02-02-2020,0,0
513,,Antigua and Barbuda,03-02-2020,0,0
514,,Antigua and Barbuda,04-02-2020,0,0
515,,Antigua and Barbuda,05-02-2020,0,0
516,,Antigua and Barbuda,06-02-2020,0,0
517,,Antigua and Barbuda,07-02-2020,0,0
518,,Antigua and Barbuda,08-02-2020,0,0
519,,Antigua and Barbuda,09-02-2020,0,0
520,,Antigua and Barbuda,10-02-2020,0,0
521,,Antigua and Barbuda,11-02-2020,0,0
522,,Antigua and Barbuda,12-02-2020,0,0
523,,Antigua and Barbuda,13-02-2020,0,0
524,,Antigua and Barbuda,14-02-2020,0,0
525,,Antigua and Barbuda,15-02-2020,0,0
526,,Antigua and Barbuda,16-02-2020,0,0
527,,Antigua and Barbuda,17-02-2020,0,0
528,,Antigua and Barbuda,18-02-2020,0,0
529,,Antigua and Barbuda,19-02-2020,0,0
530,,Antigua and Barbuda,20-02-2020,0,0
531,,Antigua and Barbuda,21-02-2020,0,0
532,,Antigua and Barbuda,22-02-2020,0,0
533,,Antigua and Barbuda,23-02-2020,0,0
534,,Antigua and Barbuda,24-02-2020,0,0
535,,Antigua and Barbuda,25-02-2020,0,0
536,,Antigua and Barbuda,26-02-2020,0,0
537,,Antigua and Barbuda,27-02-2020,0,0
538,,Antigua and Barbuda,28-02-2020,0,0
539,,Antigua and Barbuda,29-02-2020,0,0
540,,Antigua and Barbuda,01-03-2020,0,0
541,,Antigua and Barbuda,02-03-2020,0,0
542,,Antigua and Barbuda,03-03-2020,0,0
543,,Antigua and Barbuda,04-03-2020,0,0
544,,Antigua and Barbuda,05-03-2020,0,0
545,,Antigua and Barbuda,06-03-2020,0,0
546,,Antigua and Barbuda,07-03-2020,0,0
547,,Antigua and Barbuda,08-03-2020,0,0
548,,Antigua and Barbuda,09-03-2020,0,0
549,,Antigua and Barbuda,10-03-2020,0,0
550,,Antigua and Barbuda,11-03-2020,0,0
551,,Antigua and Barbuda,12-03-2020,0,0
552,,Antigua and Barbuda,13-03-2020,1,0
553,,Antigua and Barbuda,14-03-2020,1,0
554,,Antigua and Barbuda,15-03-2020,1,0
555,,Antigua and Barbuda,16-03-2020,1,0
556,,Antigua and Barbuda,17-03-2020,1,0
557,,Antigua and Barbuda,18-03-2020,1,0
558,,Antigua and Barbuda,19-03-2020,1,0
559,,Antigua and Barbuda,20-03-2020,1,0
560,,Antigua and Barbuda,21-03-2020,1,0
561,,Antigua and Barbuda,22-03-2020,1,0
562,,Antigua and Barbuda,23-03-2020,3,0
563,,Antigua and Barbuda,24-03-2020,3,0
564,,Antigua and Barbuda,25-03-2020,3,0
565,,Antigua and Barbuda,26-03-2020,7,0
566,,Antigua and Barbuda,27-03-2020,7,0
567,,Antigua and Barbuda,28-03-2020,7,0
601,,Argentina,22-01-2020,0,0
602,,Argentina,23-01-2020,0,0
603,,Argentina,24-01-2020,0,0
604,,Argentina,25-01-2020,0,0
605,,Argentina,26-01-2020,0,0
606,,Argentina,27-01-2020,0,0
607,,Argentina,28-01-2020,0,0
608,,Argentina,29-01-2020,0,0
609,,Argentina,30-01-2020,0,0
610,,Argentina,31-01-2020,0,0
611,,Argentina,01-02-2020,0,0
612,,Argentina,02-02-2020,0,0
613,,Argentina,03-02-2020,0,0
614,,Argentina,04-02-2020,0,0
615,,Argentina,05-02-2020,0,0
616,,Argentina,06-02-2020,0,0
617,,Argentina,07-02-2020,0,0
618,,Argentina,08-02-2020,0,0
619,,Argentina,09-02-2020,0,0
620,,Argentina,10-02-2020,0,0
621,,Argentina,11-02-2020,0,0
622,,Argentina,12-02-2020,0,0
623,,Argentina,13-02-2020,0,0
624,,Argentina,14-02-2020,0,0
625,,Argentina,15-02-2020,0,0
626,,Argentina,16-02-2020,0,0
627,,Argentina,17-02-2020,0,0
628,,Argentina,18-02-2020,0,0
629,,Argentina,19-02-2020,0,0
630,,Argentina,20-02-2020,0,0
631,,Argentina,21-02-2020,0,0
632,,Argentina,22-02-2020,0,0
633,,Argentina,23-02-2020,0,0
634,,Argentina,24-02-2020,0,0
635,,Argentina,25-02-2020,0,0
636,,Argentina,26-02-2020,0,0
637,,Argentina,27-02-2020,0,0
638,,Argentina,28-02-2020,0,0
639,,Argentina,29-02-2020,0,0
640,,Argentina,01-03-2020,0,0
641,,Argentina,02-03-2020,0,0
642,,Argentina,03-03-2020,1,0
643,,Argentina,04-03-2020,1,0
644,,Argentina,05-03-2020,1,0
645,,Argentina,06-03-2020,2,0
646,,Argentina,07-03-2020,8,0
647,,Argentina,08-03-2020,12,1
648,,Argentina,09-03-2020,12,1
649,,Argentina,10-03-2020,17,1
650,,Argentina,11-03-2020,19,1
651,,Argentina,12-03-2020,19,1
652,,Argentina,13-03-2020,31,2
653,,Argentina,14-03-2020,34,2
654,,Argentina,15-03-2020,45,2
655,,Argentina,16-03-2020,56,2
656,,Argentina,17-03-2020,68,2
657,,Argentina,18-03-2020,79,2
658,,Argentina,19-03-2020,97,3
659,,Argentina,20-03-2020,128,3
660,,Argentina,21-03-2020,158,4
661,,Argentina,22-03-2020,266,4
662,,Argentina,23-03-2020,301,4
663,,Argentina,24-03-2020,387,6
664,,Argentina,25-03-2020,387,8
665,,Argentina,26-03-2020,502,9
666,,Argentina,27-03-2020,589,13
667,,Argentina,28-03-2020,690,18
701,,Armenia,22-01-2020,0,0
702,,Armenia,23-01-2020,0,0
703,,Armenia,24-01-2020,0,0
704,,Armenia,25-01-2020,0,0
705,,Armenia,26-01-2020,0,0
706,,Armenia,27-01-2020,0,0
707,,Armenia,28-01-2020,0,0
708,,Armenia,29-01-2020,0,0
709,,Armenia,30-01-2020,0,0
710,,Armenia,31-01-2020,0,0
711,,Armenia,01-02-2020,0,0
712,,Armenia,02-02-2020,0,0
713,,Armenia,03-02-2020,0,0
714,,Armenia,04-02-2020,0,0
715,,Armenia,05-02-2020,0,0
716,,Armenia,06-02-2020,0,0
717,,Armenia,07-02-2020,0,0
718,,Armenia,08-02-2020,0,0
719,,Armenia,09-02-2020,0,0
720,,Armenia,10-02-2020,0,0
721,,Armenia,11-02-2020,0,0
722,,Armenia,12-02-2020,0,0
723,,Armenia,13-02-2020,0,0
724,,Armenia,14-02-2020,0,0
725,,Armenia,15-02-2020,0,0
726,,Armenia,16-02-2020,0,0
727,,Armenia,17-02-2020,0,0
728,,Armenia,18-02-2020,0,0
729,,Armenia,19-02-2020,0,0
730,,Armenia,20-02-2020,0,0
731,,Armenia,21-02-2020,0,0
732,,Armenia,22-02-2020,0,0
733,,Armenia,23-02-2020,0,0
734,,Armenia,24-02-2020,0,0
735,,Armenia,25-02-2020,0,0
736,,Armenia,26-02-2020,0,0
737,,Armenia,27-02-2020,0,0
738,,Armenia,28-02-2020,0,0
739,,Armenia,29-02-2020,0,0
740,,Armenia,01-03-2020,1,0
741,,Armenia,02-03-2020,1,0
742,,Armenia,03-03-2020,1,0
743,,Armenia,04-03-2020,1,0
744,,Armenia,05-03-2020,1,0
745,,Armenia,06-03-2020,1,0
746,,Armenia,07-03-2020,1,0
747,,Armenia,08-03-2020,1,0
748,,Armenia,09-03-2020,1,0
749,,Armenia,10-03-2020,1,0
750,,Armenia,11-03-2020,1,0
751,,Armenia,12-03-2020,4,0
752,,Armenia,13-03-2020,8,0
753,,Armenia,14-03-2020,18,0
754,,Armenia,15-03-2020,26,0
755,,Armenia,16-03-2020,52,0
756,,Armenia,17-03-2020,78,0
757,,Armenia,18-03-2020,84,0
758,,Armenia,19-03-2020,115,0
759,,Armenia,20-03-2020,136,0
760,,Armenia,21-03-2020,160,0
761,,Armenia,22-03-2020,194,0
762,,Armenia,23-03-2020,235,0
763,,Armenia,24-03-2020,249,0
764,,Armenia,25-03-2020,265,0
765,,Armenia,26-03-2020,290,1
766,,Armenia,27-03-2020,329,1
767,,Armenia,28-03-2020,407,1
801,Australian Capital Territory,Australia,22-01-2020,0,0
802,Australian Capital Territory,Australia,23-01-2020,0,0
803,Australian Capital Territory,Australia,24-01-2020,0,0
804,Australian Capital Territory,Australia,25-01-2020,0,0
805,Australian Capital Territory,Australia,26-01-2020,0,0
806,Australian Capital Territory,Australia,27-01-2020,0,0
807,Australian Capital Territory,Australia,28-01-2020,0,0
808,Australian Capital Territory,Australia,29-01-2020,0,0
809,Australian Capital Territory,Australia,30-01-2020,0,0
810,Australian Capital Territory,Australia,31-01-2020,0,0
811,Australian Capital Territory,Australia,01-02-2020,0,0
812,Australian Capital Territory,Australia,02-02-2020,0,0
813,Australian Capital Territory,Australia,03-02-2020,0,0
814,Australian Capital Territory,Australia,04-02-2020,0,0
815,Australian Capital Territory,Australia,05-02-2020,0,0
816,Australian Capital Territory,Australia,06-02-2020,0,0
817,Australian Capital Territory,Australia,07-02-2020,0,0
818,Australian Capital Territory,Australia,08-02-2020,0,0
819,Australian Capital Territory,Australia,09-02-2020,0,0
820,Australian Capital Territory,Australia,10-02-2020,0,0
821,Australian Capital Territory,Australia,11-02-2020,0,0
822,Australian Capital Territory,Australia,12-02-2020,0,0
823,Australian Capital Territory,Australia,13-02-2020,0,0
824,Australian Capital Territory,Australia,14-02-2020,0,0
825,Australian Capital Territory,Australia,15-02-2020,0,0
826,Australian Capital Territory,Australia,16-02-2020,0,0
827,Australian Capital Territory,Australia,17-02-2020,0,0
828,Australian Capital Territory,Australia,18-02-2020,0,0
829,Australian Capital Territory,Australia,19-02-2020,0,0
830,Australian Capital Territory,Australia,20-02-2020,0,0
831,Australian Capital Territory,Australia,21-02-2020,0,0
832,Australian Capital Territory,Australia,22-02-2020,0,0
833,Australian Capital Territory,Australia,23-02-2020,0,0
834,Australian Capital Territory,Australia,24-02-2020,0,0
835,Australian Capital Territory,Australia,25-02-2020,0,0
836,Australian Capital Territory,Australia,26-02-2020,0,0
837,Australian Capital Territory,Australia,27-02-2020,0,0
838,Australian Capital Territory,Australia,28-02-2020,0,0
839,Australian Capital Territory,Australia,29-02-2020,0,0
840,Australian Capital Territory,Australia,01-03-2020,0,0
841,Australian Capital Territory,Australia,02-03-2020,0,0
842,Australian Capital Territory,Australia,03-03-2020,0,0
843,Australian Capital Territory,Australia,04-03-2020,0,0
844,Australian Capital Territory,Australia,05-03-2020,0,0
845,Australian Capital Territory,Australia,06-03-2020,0,0
846,Australian Capital Territory,Australia,07-03-2020,0,0
847,Australian Capital Territory,Australia,08-03-2020,0,0
848,Australian Capital Territory,Australia,09-03-2020,0,0
849,Australian Capital Territory,Australia,10-03-2020,0,0
850,Australian Capital Territory,Australia,11-03-2020,0,0
851,Australian Capital Territory,Australia,12-03-2020,0,0
852,Australian Capital Territory,Australia,13-03-2020,1,0
853,Australian Capital Territory,Australia,14-03-2020,1,0
854,Australian Capital Territory,Australia,15-03-2020,1,0
855,Australian Capital Territory,Australia,16-03-2020,2,0
856,Australian Capital Territory,Australia,17-03-2020,2,0
857,Australian Capital Territory,Australia,18-03-2020,3,0
858,Australian Capital Territory,Australia,19-03-2020,4,0
859,Australian Capital Territory,Australia,20-03-2020,6,0
860,Australian Capital Territory,Australia,21-03-2020,9,0
861,Australian Capital Territory,Australia,22-03-2020,19,0
862,Australian Capital Territory,Australia,23-03-2020,32,0
863,Australian Capital Territory,Australia,24-03-2020,39,0
864,Australian Capital Territory,Australia,25-03-2020,39,0
865,Australian Capital Territory,Australia,26-03-2020,53,0
866,Australian Capital Territory,Australia,27-03-2020,62,0
867,Australian Capital Territory,Australia,28-03-2020,71,0
901,New South Wales,Australia,22-01-2020,0,0
902,New South Wales,Australia,23-01-2020,0,0
903,New South Wales,Australia,24-01-2020,0,0
904,New South Wales,Australia,25-01-2020,0,0
905,New South Wales,Australia,26-01-2020,3,0
906,New South Wales,Australia,27-01-2020,4,0
907,New South Wales,Australia,28-01-2020,4,0
908,New South Wales,Australia,29-01-2020,4,0
909,New South Wales,Australia,30-01-2020,4,0
910,New South Wales,Australia,31-01-2020,4,0
911,New South Wales,Australia,01-02-2020,4,0
912,New South Wales,Australia,02-02-2020,4,0
913,New South Wales,Australia,03-02-2020,4,0
914,New South Wales,Australia,04-02-2020,4,0
915,New South Wales,Australia,05-02-2020,4,0
916,New South Wales,Australia,06-02-2020,4,0
917,New South Wales,Australia,07-02-2020,4,0
918,New South Wales,Australia,08-02-2020,4,0
919,New South Wales,Australia,09-02-2020,4,0
920,New South Wales,Australia,10-02-2020,4,0
921,New South Wales,Australia,11-02-2020,4,0
922,New South Wales,Australia,12-02-2020,4,0
923,New South Wales,Australia,13-02-2020,4,0
924,New South Wales,Australia,14-02-2020,4,0
925,New South Wales,Australia,15-02-2020,4,0
926,New South Wales,Australia,16-02-2020,4,0
927,New South Wales,Australia,17-02-2020,4,0
928,New South Wales,Australia,18-02-2020,4,0
929,New South Wales,Australia,19-02-2020,4,0
930,New South Wales,Australia,20-02-2020,4,0
931,New South Wales,Australia,21-02-2020,4,0
932,New South Wales,Australia,22-02-2020,4,0
933,New South Wales,Australia,23-02-2020,4,0
934,New South Wales,Australia,24-02-2020,4,0
935,New South Wales,Australia,25-02-2020,4,0
936,New South Wales,Australia,26-02-2020,4,0
937,New South Wales,Australia,27-02-2020,4,0
938,New South Wales,Australia,28-02-2020,4,0
939,New South Wales,Australia,29-02-2020,4,0
940,New South Wales,Australia,01-03-2020,6,0
941,New South Wales,Australia,02-03-2020,6,0
942,New South Wales,Australia,03-03-2020,13,0
943,New South Wales,Australia,04-03-2020,22,1
944,New South Wales,Australia,05-03-2020,22,1
945,New South Wales,Australia,06-03-2020,26,1
946,New South Wales,Australia,07-03-2020,28,1
947,New South Wales,Australia,08-03-2020,38,2
948,New South Wales,Australia,09-03-2020,48,2
949,New South Wales,Australia,10-03-2020,55,2
950,New South Wales,Australia,11-03-2020,65,2
951,New South Wales,Australia,12-03-2020,65,2
952,New South Wales,Australia,13-03-2020,92,2
953,New South Wales,Australia,14-03-2020,112,2
954,New South Wales,Australia,15-03-2020,134,2
955,New South Wales,Australia,16-03-2020,171,2
956,New South Wales,Australia,17-03-2020,210,4
957,New South Wales,Australia,18-03-2020,267,5
958,New South Wales,Australia,19-03-2020,307,5
959,New South Wales,Australia,20-03-2020,353,6
960,New South Wales,Australia,21-03-2020,436,6
961,New South Wales,Australia,22-03-2020,669,6
962,New South Wales,Australia,23-03-2020,669,6
963,New South Wales,Australia,24-03-2020,818,7
964,New South Wales,Australia,25-03-2020,1029,7
965,New South Wales,Australia,26-03-2020,1219,7
966,New South Wales,Australia,27-03-2020,1405,7
